Property ID,Name,Company,Email Address,Phone Number,Zip Code,Address,City,State,Suburb,Latitude,Longitude,Did you find what you were looking for,Overall Condition of the Property,Interaction with the agent,Satisfaction with the inspection process,Likelihood to Buy or Rent,What did you like most?,How well did the property meet your needs?,View Similar Properties,Additional Comments
15,Tricia Hart,Mckinney Group,wburgess@example.net,1630.0220,5812,23 James Tarn,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,2,2,1,5,"Price, Neighborhood, Garage",2,1,The balcony offers stunning views of the surrounding area.
10,Alisha James,"Hicks, Rose and Moore",joseph59@example.org,+61 480 762 043,2964,Unit 02 211 Graham Circus,Sydney,NSW,Penrith,-33.751,150.6949,0,1,3,2,3,Bedrooms,1,1,The open-plan living space makes the home feel very spacious.
16,Kyle Watkins,Smith-Berry,ortegaevelyn@example.net,02315275,2928,01 Colleen Pass,Sydney,NSW,Parramatta,-33.814,151.0031,1,1,1,5,4,Price,4,0,The open-plan living space makes the home feel very spacious.
5,Sharon Houston,Davidson Inc,utorres@example.net,+61-8-5375-4631,2154,Apt. 560 533 Kirsten Circle,Sydney,NSW,Chatswood,-33.7969,151.1832,1,1,5,5,1,Neighborhood,4,0,I love the modern kitchen layout and the high-end appliances.
11,Michael Garcia,Martin PLC,gregory83@example.net,+61 481 351 342,2645,Suite 183 80 Cassidy Riviera,Sydney,NSW,Penrith,-33.751,150.6949,0,1,2,4,4,Bathrooms,3,1,The balcony offers stunning views of the surrounding area.
3,Shawn Taylor,Brown-Olson,shannon22@example.org,(03)19532976,2922,89 Peter Walkway,Sydney,NSW,Newtown,-33.8971,151.1796,0,1,5,5,4,"Living Space, Garage",4,1,The open-plan living space makes the home feel very spacious.
14,Daniel Fernandez,Thomas-Bond,laura48@example.org,+61 7 1649 9589,0204,Suite 212 255 Mclaughlin Parkway,Sydney,NSW,Newtown,-33.8971,151.1796,1,4,2,5,2,"Bedrooms, Garage",4,1,The price seems reasonable for the area and the amenities offered.
19,Ms. Morgan Hernandez,Jackson-Edwards,omcdaniel@example.org,8772.1232,9845,76 Karen Quadrangle,Sydney,NSW,Chatswood,-33.7969,151.1832,1,1,4,5,1,"Bathrooms, Kitchen",5,0,"The property is in a great location, close to shops and public transport."
15,Beth Mccarty,"Walters, Williams and Avila",jdaniels@example.com,03.0120.3566,2941,188 Jerry Landing,Sydney,NSW,Newtown,-33.8971,151.1796,1,1,2,4,3,"Balcony, Kitchen, Price",3,0,The open-plan living space makes the home feel very spacious.
1,Terri Burch,"Long, Dean and Daniels",shelley65@example.net,0474.593.389,2674,Suite 287 0 Howard Firetrail,Sydney,NSW,Manly,-33.7963,151.2875,1,1,4,3,2,"Kitchen, Balcony",3,0,The price seems reasonable for the area and the amenities offered.
15,Allison Page,Holder-Hicks,stefaniestone@example.com,03-6119-3396,2642,18/11 Anderson Block,Sydney,NSW,Liverpool,-33.9175,150.9244,1,2,3,2,5,"Neighborhood, Kitchen, Balcony",1,1,"The neighborhood is quiet and family-friendly, which is a big plus."
4,Jacob Brown,"Coleman, Mathis and Kent",smithmichael@example.org,+61.2.2891.7757,7187,Unit 36 372 Howard End,Sydney,NSW,Parramatta,-33.814,151.0031,1,2,1,2,1,"Bathrooms, Living Space",3,1,"The neighborhood is quiet and family-friendly, which is a big plus."
5,Alexandra Ford,Nguyen-Anderson,xriley@example.com,03.7752.3073,2619,Flat 95 06 Robert River,Sydney,NSW,Cronulla,-34.0527,151.1523,1,2,3,1,5,Living Space,3,0,The backyard is spacious and perfect for entertaining guests.
7,Trevor Webb,Davila-Valdez,jacobmiller@example.org,+61.8.4309.6417,2474,68 Lawrence Trail,Sydney,NSW,Chatswood,-33.7969,151.1832,1,2,2,1,4,"Balcony, Kitchen",5,0,The backyard is spacious and perfect for entertaining guests.
14,Mercedes Rojas,Gonzalez Ltd,hallsara@example.net,(03).9566.7090,2640,Flat 67 93 Nelson Round,Sydney,NSW,Penrith,-33.751,150.6949,0,1,1,2,2,"Living Space, Price, Kitchen",3,1,I love the modern kitchen layout and the high-end appliances.
5,Melinda Montoya,Thompson PLC,douglasgordon@example.net,08-4888-6157,2327,8/06 Lisa Alleyway,Sydney,NSW,Bondi,-33.8915,151.2767,1,2,2,1,1,"Neighborhood, Price",1,1,"The property is in a great location, close to shops and public transport."
17,William Fisher,"Williams, Powell and Bishop",lisa64@example.net,+61-8-1789-1542,2620,Level 8 43 Bryan Pass,Sydney,NSW,Chatswood,-33.7969,151.1832,1,1,3,3,1,"Kitchen, Neighborhood, Garage",4,0,The bedrooms are well-sized and have plenty of natural light.
1,Matthew Dunn,Alexander Group,jessicalozano@example.com,+61.400.702.832,2186,622/75 Jeffrey Driveway,Sydney,NSW,Manly,-33.7963,151.2875,1,4,2,2,1,"Bedrooms, Bathrooms, Kitchen",1,0,The backyard is spacious and perfect for entertaining guests.
6,Janet Montgomery,Richard and Sons,kboyd@example.com,36172476,1580,81 Hernandez Vale,Sydney,NSW,Cronulla,-34.0527,151.1523,0,4,5,4,2,Living Space,4,1,"The neighborhood is quiet and family-friendly, which is a big plus."
1,Rachel Edwards,Villa PLC,kylefrancis@example.net,9481.7128,2642,Apt. 272 529 Benson Roads,Sydney,NSW,Newtown,-33.8971,151.1796,0,3,4,3,1,"Bathrooms, Garage",5,1,The balcony offers stunning views of the surrounding area.
20,Laura Stewart,Hawkins-Fleming,patrick48@example.net,(07)39993055,2945,96 Andrea Quay,Sydney,NSW,Bondi,-33.8915,151.2767,1,1,3,1,2,"Garage, Bathrooms",1,1,The backyard is spacious and perfect for entertaining guests.
3,David Curry,Hoover-Taylor,taylormarie@example.org,(07).4229.3962,2801,1/39 Brown Drive,Sydney,NSW,Cronulla,-34.0527,151.1523,0,1,2,1,4,"Neighborhood, Bathrooms",1,0,The open-plan living space makes the home feel very spacious.
10,Michael Chambers,"Cardenas, Clark and Reese",castroclaudia@example.net,(08) 9466 8246,9573,396 Ruiz Firetrail,Sydney,NSW,Chatswood,-33.7969,151.1832,1,3,4,4,4,"Garage, Neighborhood",1,1,The open-plan living space makes the home feel very spacious.
10,Charles Wilson,"Preston, Lynch and Russell",larsonelizabeth@example.com,3581-1584,1728,9 Hamilton Centre,Sydney,NSW,Liverpool,-33.9175,150.9244,0,2,5,5,4,Kitchen,5,1,I love the modern kitchen layout and the high-end appliances.
4,Joshua Curtis,Levy Group,ycox@example.com,0429.246.198,2911,Apt. 801 342 Donald Ridge,Sydney,NSW,Newtown,-33.8971,151.1796,0,5,4,4,4,"Kitchen, Bedrooms, Bathrooms",4,1,The price seems reasonable for the area and the amenities offered.
3,Jamie Palmer,"Harris, Stuart and Parker",abaker@example.com,(08).7217.1012,2342,52/2 Price Trunkway,Sydney,NSW,Parramatta,-33.814,151.0031,1,3,3,3,2,Balcony,1,0,The price seems reasonable for the area and the amenities offered.
5,Nicole Riggs,"Cline, Gilbert and James",gmorrow@example.org,+61-3-1786-7636,3415,19/8 Ashley Avenue,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,3,4,5,4,Living Space,1,1,The price seems reasonable for the area and the amenities offered.
12,Elizabeth Farley,Wagner-Gordon,ysmith@example.com,(08).9587.0286,2673,4 Jessica Expressway,Sydney,NSW,Manly,-33.7963,151.2875,0,2,3,1,4,Garage,3,0,The price seems reasonable for the area and the amenities offered.
8,Ashley Cooper,Henderson-Wong,scotterin@example.net,8648-7246,2924,63 Woodard Fairway,Sydney,NSW,Cronulla,-34.0527,151.1523,1,5,4,5,5,"Balcony, Bedrooms",4,1,"The neighborhood is quiet and family-friendly, which is a big plus."
17,Paul Sanchez,Richard Inc,sarah20@example.org,+61.7.3762.8201,2950,56 Smith Parklands,Sydney,NSW,Cronulla,-34.0527,151.1523,1,3,1,1,1,"Bedrooms, Kitchen",5,0,The bedrooms are well-sized and have plenty of natural light.
4,Rebecca Fletcher PhD,Harrison Group,rogersstephanie@example.net,9073-4406,2731,Unit 46 5 Lucas Pass,Sydney,NSW,Chatswood,-33.7969,151.1832,1,3,1,1,2,"Kitchen, Neighborhood, Bathrooms",2,1,The balcony offers stunning views of the surrounding area.
19,Mary Adams,Flores-Romero,joshua42@example.net,02 2380 1021,2952,Suite 063 67 Cindy Driveway,Sydney,NSW,Liverpool,-33.9175,150.9244,0,4,5,2,5,Price,4,0,"The property is in a great location, close to shops and public transport."
20,Cynthia Martinez,Clark Inc,kathryngonzalez@example.net,0461.184.316,2625,253/5 Williams Turn,Sydney,NSW,Liverpool,-33.9175,150.9244,1,3,3,2,5,"Bathrooms, Balcony, Price",5,0,"The property is in a great location, close to shops and public transport."
2,David Romero,Garrison Group,rodriguezsteven@example.com,(08)-1952-8626,2658,59 Jeremy Way,Sydney,NSW,Penrith,-33.751,150.6949,0,3,4,5,2,Garage,5,1,The balcony offers stunning views of the surrounding area.
19,Logan Miller,Pittman Inc,jessica89@example.com,6349.8749,4259,36 Garcia Garden,Sydney,NSW,Newtown,-33.8971,151.1796,0,3,3,4,3,"Bathrooms, Bedrooms",5,1,The open-plan living space makes the home feel very spacious.
7,Nina Hardin,"Stevenson, Anderson and Flowers",scottcurry@example.com,+61.496.389.358,2905,8 Porter Estate,Sydney,NSW,Mosman,-33.8295,151.2443,1,1,1,4,4,Neighborhood,2,1,"The property is in a great location, close to shops and public transport."
11,Ariana Rodriguez,Taylor-Dixon,michaelbaldwin@example.net,0456-413-900,2922,50 Samantha Garden,Sydney,NSW,Newtown,-33.8971,151.1796,1,1,2,4,2,Neighborhood,4,0,"The neighborhood is quiet and family-friendly, which is a big plus."
15,Sandra Murray,Lee Inc,brendanmorris@example.net,0400 837 651,0221,Apt. 469 58 Katie Quay,Sydney,NSW,Mosman,-33.8295,151.2443,0,3,3,4,5,"Balcony, Garage, Price",5,0,"The neighborhood is quiet and family-friendly, which is a big plus."
9,Grace Richards,"Ford, Perry and Crosby",hollycollier@example.com,0419 497 338,0868,Level 3 9 Cruz Gully,Sydney,NSW,Penrith,-33.751,150.6949,0,1,5,3,1,"Price, Bedrooms, Garage",2,1,The backyard is spacious and perfect for entertaining guests.
19,Patricia French,"Alexander, Solomon and Holland",phillipssamantha@example.com,+61.463.691.091,2692,88/933 Lori Access,Sydney,NSW,Chatswood,-33.7969,151.1832,1,3,4,1,5,"Balcony, Kitchen, Garage",1,1,"The neighborhood is quiet and family-friendly, which is a big plus."
16,Brandon Johnson MD,Davis Inc,stephanie76@example.net,+61-2-6860-1986,2920,Apt. 840 0 Mullen Ring,Sydney,NSW,Bondi,-33.8915,151.2767,0,4,5,3,5,"Kitchen, Living Space, Neighborhood",3,0,The open-plan living space makes the home feel very spacious.
15,Shelley Cook,Aguilar PLC,melissagarrett@example.org,0307873013,2142,Level 2 148 Jeffrey Stairs,Sydney,NSW,Cronulla,-34.0527,151.1523,0,1,1,2,2,Garage,1,1,The price seems reasonable for the area and the amenities offered.
8,Justin Davis,Soto-Sherman,greenmichael@example.net,+61-2-5486-8795,2670,Level 2 2 Garza Plaza,Sydney,NSW,Bondi,-33.8915,151.2767,1,4,5,3,5,Bedrooms,4,1,The price seems reasonable for the area and the amenities offered.
15,James Ross II,Evans Inc,meganjimenez@example.com,(07)-3345-8022,9327,Flat 87 912 Potts Pass,Sydney,NSW,Bondi,-33.8915,151.2767,0,3,1,3,1,"Bathrooms, Bedrooms",5,1,The bedrooms are well-sized and have plenty of natural light.
2,Beth Moore,Branch-Stewart,jerryadams@example.com,0484.763.885,2947,9 Powers Link,Sydney,NSW,Surry Hills,-33.8836,151.2115,0,3,3,1,5,"Living Space, Balcony, Kitchen",3,0,The balcony offers stunning views of the surrounding area.
17,Natalie Nicholson,Huff-Fletcher,allison13@example.org,+61.7.3479.2386,2955,7 Cassandra Mount,Sydney,NSW,Parramatta,-33.814,151.0031,1,4,5,3,5,"Price, Bedrooms",3,0,The backyard is spacious and perfect for entertaining guests.
2,Lauren Mccarthy,"Mcdowell, Lang and Carney",aaron77@example.net,+61.486.060.358,2911,669/687 Rebecca Right Of Way,Sydney,NSW,Bondi,-33.8915,151.2767,1,1,4,1,1,"Kitchen, Price",4,1,The open-plan living space makes the home feel very spacious.
8,Juan Robinson,"Rodriguez, Galvan and Hartman",zjohnson@example.com,0843402248,5750,64 Cindy Front,Sydney,NSW,Mosman,-33.8295,151.2443,0,2,2,4,1,"Living Space, Price",4,1,The price seems reasonable for the area and the amenities offered.
2,Claudia Buchanan,Lara-Wilson,rsanders@example.com,08-3189-3309,0838,Suite 359 1 Medina Landing,Sydney,NSW,Chatswood,-33.7969,151.1832,0,3,3,2,3,Price,1,0,"The property is in a great location, close to shops and public transport."
1,Jamie Brown,Holmes LLC,olsonlauren@example.net,+61.415.041.060,2946,Level 0 15 Jason Fire Track,Sydney,NSW,Newtown,-33.8971,151.1796,0,2,3,4,1,Bathrooms,3,1,"The neighborhood is quiet and family-friendly, which is a big plus."
7,Kayla Morales,Santana Ltd,brendalewis@example.com,+61 429 650 342,2928,Unit 60 93 Davis Gap,Sydney,NSW,Newtown,-33.8971,151.1796,0,5,1,1,5,"Price, Kitchen",4,0,The backyard is spacious and perfect for entertaining guests.
3,Daniel Dennis,"Lewis, Lawrence and Tyler",thomasfoley@example.org,+61-3-7808-5689,2610,71 Denise Centre,Sydney,NSW,Chatswood,-33.7969,151.1832,0,1,5,5,2,"Balcony, Neighborhood, Bathrooms",2,1,The backyard is spacious and perfect for entertaining guests.
11,Timothy Williams,Black-Gill,tinaatkins@example.org,+61.3.5684.8120,2999,Apt. 766 3 Christina River,Sydney,NSW,Chatswood,-33.7969,151.1832,0,3,3,5,3,"Kitchen, Bedrooms, Living Space",5,0,The bedrooms are well-sized and have plenty of natural light.
17,Travis Lewis,"Wade, Mclaughlin and Tate",mark99@example.net,+61 401 615 704,6407,137 Walker Gully,Sydney,NSW,Penrith,-33.751,150.6949,1,2,5,1,2,"Garage, Neighborhood, Balcony",3,0,"The property is in a great location, close to shops and public transport."
20,Brian Carter,Calhoun Group,kgarrett@example.com,(07)66000599,3764,50 Fernandez Riverway,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,2,4,1,3,"Bathrooms, Neighborhood, Kitchen",3,0,I love the modern kitchen layout and the high-end appliances.
16,Katherine Pittman,Rivera PLC,petersjason@example.com,3898-5877,9090,Flat 50 79 Brianna Edge,Sydney,NSW,Bondi,-33.8915,151.2767,0,1,4,1,3,"Balcony, Bedrooms",2,1,The balcony offers stunning views of the surrounding area.
16,Jamie Greene,Russell Group,danielbarber@example.org,02 6752 7759,2699,Suite 051 3 Bryant Broadway,Sydney,NSW,Bondi,-33.8915,151.2767,0,5,5,3,3,Bedrooms,5,1,The backyard is spacious and perfect for entertaining guests.
11,Katherine Davis,Thomas-Green,thomasjoshua@example.net,0496.216.190,2615,Apt. 730 7 Frazier Basin,Sydney,NSW,Chatswood,-33.7969,151.1832,1,5,2,3,1,"Price, Bathrooms, Living Space",5,0,"The property is in a great location, close to shops and public transport."
11,William Hess,"Frost, Gomez and Spencer",stephenwalker@example.com,(08).5352.0859,2100,53 Nicholas Highroad,Sydney,NSW,Parramatta,-33.814,151.0031,1,2,5,5,1,"Neighborhood, Bedrooms, Kitchen",4,1,The balcony offers stunning views of the surrounding area.
12,Zachary Thornton,Owens-Anderson,kristinhooper@example.org,9553-5605,2611,1 Vincent Interchange,Sydney,NSW,Liverpool,-33.9175,150.9244,1,3,5,3,5,"Neighborhood, Balcony",4,1,I love the modern kitchen layout and the high-end appliances.
4,Ryan Rodriguez,"Holmes, Glenn and Abbott",lunaandrea@example.org,+61 8 8195 5722,8777,20 James Park,Sydney,NSW,Mosman,-33.8295,151.2443,1,1,4,1,1,"Kitchen, Bathrooms, Bedrooms",5,1,"The property is in a great location, close to shops and public transport."
7,David Hardin,Dominguez-Williams,wolfekaren@example.org,0459.576.419,2911,81/013 Welch River,Sydney,NSW,Parramatta,-33.814,151.0031,0,4,5,2,2,Living Space,1,1,The balcony offers stunning views of the surrounding area.
6,Roberto Paul,Barrett Inc,nsteele@example.org,0405-449-059,2633,48 Deanna Basin,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,3,5,4,1,"Balcony, Price",4,1,The price seems reasonable for the area and the amenities offered.
5,Daniel Barnes,Thomas-Holland,robin49@example.net,2995-5379,7258,81/03 Maria Key,Sydney,NSW,Chatswood,-33.7969,151.1832,0,3,5,1,5,Balcony,4,1,The open-plan living space makes the home feel very spacious.
2,Jordan Mack,Bell-Bryant,brianlee@example.com,+61326752932,2619,377 Deborah Lane,Sydney,NSW,Parramatta,-33.814,151.0031,0,2,2,3,5,"Bedrooms, Living Space",2,1,"The property is in a great location, close to shops and public transport."
5,Stephen Smith,Hall-Young,karenyu@example.com,0446-479-267,2952,793/40 Williams Slope,Sydney,NSW,Newtown,-33.8971,151.1796,1,4,2,4,5,"Bedrooms, Living Space, Balcony",3,1,The price seems reasonable for the area and the amenities offered.
5,Christopher Johnson,"Mccall, Levy and Chapman",reyessavannah@example.org,0797120736,2671,587/48 Jacob Parklands,Sydney,NSW,Penrith,-33.751,150.6949,1,4,3,3,3,Garage,2,1,The bedrooms are well-sized and have plenty of natural light.
3,Kimberly Ellis,"Schmidt, Hernandez and Johnson",bishoppamela@example.net,(02).2474.7206,2696,436/653 Robin Bridge,Sydney,NSW,Bondi,-33.8915,151.2767,1,5,5,4,2,"Living Space, Garage",3,1,The price seems reasonable for the area and the amenities offered.
9,Teresa Wallace,Jones-Clark,amybullock@example.com,(07)-5161-7699,0262,Unit 34 801 Kari Wynd,Sydney,NSW,Cronulla,-34.0527,151.1523,0,3,3,1,4,"Bathrooms, Garage, Neighborhood",5,1,The price seems reasonable for the area and the amenities offered.
11,Dave Barry,"Miller, Mclean and Gordon",rileybentley@example.net,55609238,3655,Unit 11 0 Christopher Quadrangle,Sydney,NSW,Bondi,-33.8915,151.2767,1,5,1,2,4,"Garage, Living Space, Balcony",5,0,"The property is in a great location, close to shops and public transport."
4,John Villegas,"Sharp, Tran and Franklin",brandonprice@example.com,08 3074 9967,2274,16 Holmes Cruiseway,Sydney,NSW,Penrith,-33.751,150.6949,0,3,3,5,3,"Neighborhood, Garage, Living Space",2,0,The balcony offers stunning views of the surrounding area.
7,Teresa Nguyen,"Parrish, Kim and Mcdonald",darrell94@example.org,+61-461-523-314,2920,454 Alison Piazza,Sydney,NSW,Manly,-33.7963,151.2875,1,2,1,2,5,Price,2,0,The price seems reasonable for the area and the amenities offered.
10,Christopher Soto,"Bond, Cox and Gonzalez",joshuavasquez@example.com,0426 049 550,2935,374 Molly Pass,Sydney,NSW,Liverpool,-33.9175,150.9244,1,2,5,2,1,Kitchen,5,0,The open-plan living space makes the home feel very spacious.
6,Frances Smith,"Hart, Melendez and Ray",byrdjustin@example.org,+61.492.536.421,2970,Unit 91 9 Ariana Access,Sydney,NSW,Cronulla,-34.0527,151.1523,1,3,5,1,5,Neighborhood,2,1,The balcony offers stunning views of the surrounding area.
8,Sergio Merritt,Patel-Roberts,nsherman@example.com,7075 7308,2966,51 Diane Drive,Sydney,NSW,Surry Hills,-33.8836,151.2115,0,3,2,1,4,"Price, Garage",3,1,The open-plan living space makes the home feel very spacious.
1,Miranda Thompson,Garza-Miles,brandy73@example.com,+61 2 8888 7288,3291,89 Joel Reach,Sydney,NSW,Penrith,-33.751,150.6949,0,3,2,5,2,Bathrooms,1,1,"The neighborhood is quiet and family-friendly, which is a big plus."
7,Paige Nguyen,Powell and Sons,barbarawashington@example.com,03.4189.0667,2797,6 Kelly Esplanade,Sydney,NSW,Penrith,-33.751,150.6949,0,1,3,2,2,"Price, Balcony, Bathrooms",3,0,The balcony offers stunning views of the surrounding area.
4,Dustin Perez,"Becker, Davidson and Bauer",martinchristopher@example.org,6695 9659,2799,746 David Turn,Sydney,NSW,Cronulla,-34.0527,151.1523,1,4,3,5,3,Kitchen,2,0,"The property is in a great location, close to shops and public transport."
4,Michael Taylor,"Stokes, Martin and Diaz",anthonyreed@example.net,8327.1130,2992,Unit 40 07 Kennedy Hill,Sydney,NSW,Penrith,-33.751,150.6949,1,1,1,2,2,"Kitchen, Garage",1,1,The backyard is spacious and perfect for entertaining guests.
8,Brenda Howard,"Bradley, Richards and Underwood",mpeterson@example.net,(07) 9314 6808,4009,Flat 49 5 Hall Fire Track,Sydney,NSW,Chatswood,-33.7969,151.1832,1,2,1,5,1,Bedrooms,2,0,The price seems reasonable for the area and the amenities offered.
10,Bryan Sherman,"Willis, Morris and Flynn",qpruitt@example.org,+61.7.8608.0752,2215,302 Colleen Laneway,Sydney,NSW,Newtown,-33.8971,151.1796,1,3,2,5,2,"Balcony, Bedrooms",5,0,"The neighborhood is quiet and family-friendly, which is a big plus."
15,Andre Moore,Bradley and Sons,wilsonmichael@example.com,+61.2.2444.4565,0273,7 Green Way,Sydney,NSW,Chatswood,-33.7969,151.1832,1,5,5,5,5,"Balcony, Neighborhood",3,0,The price seems reasonable for the area and the amenities offered.
7,Richard Lynch,Duarte Group,jose21@example.net,+61.7.0923.2056,2195,535 Miller Lookout,Sydney,NSW,Chatswood,-33.7969,151.1832,0,5,4,5,1,"Neighborhood, Bedrooms, Kitchen",2,1,"The property is in a great location, close to shops and public transport."
18,Shannon Holloway,Shelton Group,wleonard@example.net,(02)-0462-7675,2647,4 Richard Brace,Sydney,NSW,Cronulla,-34.0527,151.1523,1,1,5,5,4,"Garage, Bathrooms, Kitchen",2,1,The open-plan living space makes the home feel very spacious.
14,Brianna Jackson,Wang-Anderson,timmelendez@example.net,+61842518859,2441,679/463 Christopher End,Sydney,NSW,Bondi,-33.8915,151.2767,1,5,5,5,3,"Kitchen, Neighborhood, Balcony",5,1,The balcony offers stunning views of the surrounding area.
17,Alfred Navarro,Wood Ltd,ajackson@example.com,03 1969 0226,2667,577 Garcia Centreway,Sydney,NSW,Cronulla,-34.0527,151.1523,0,3,3,1,4,Bedrooms,2,1,The backyard is spacious and perfect for entertaining guests.
5,Jamie Skinner,Reynolds and Sons,ajones@example.com,+61-483-992-823,2961,581 Isaac Wade,Sydney,NSW,Liverpool,-33.9175,150.9244,0,3,1,5,1,Price,2,1,"The property is in a great location, close to shops and public transport."
20,Barbara Ross,"Green, Floyd and Duncan",heathersosa@example.net,08.8009.0710,2641,381/91 Rodriguez Turn,Sydney,NSW,Newtown,-33.8971,151.1796,0,2,3,4,2,Bedrooms,5,0,The bedrooms are well-sized and have plenty of natural light.
18,Jesus Smith,Stanley-Raymond,shannonjackson@example.org,0404.935.785,2997,471 Nicole Landing,Sydney,NSW,Cronulla,-34.0527,151.1523,0,2,1,2,3,"Bedrooms, Neighborhood, Bathrooms",5,0,The bedrooms are well-sized and have plenty of natural light.
6,Dustin Clark,"Farmer, Rollins and Perez",alicia98@example.net,(03)80198027,2925,950 Janice Rue,Sydney,NSW,Manly,-33.7963,151.2875,1,4,3,4,1,"Balcony, Bathrooms",4,1,"The property is in a great location, close to shops and public transport."
17,Christopher Jimenez,"Hendrix, Ryan and Parker",zhudson@example.net,+61294021718,2694,84 Arroyo Walk,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,2,4,5,5,"Bedrooms, Bathrooms, Balcony",2,1,"The neighborhood is quiet and family-friendly, which is a big plus."
20,Amanda Mckee,Young-Weber,burnsmonica@example.net,0453 272 621,2980,0/2 Thomas Foreshore,Sydney,NSW,Mosman,-33.8295,151.2443,0,2,2,4,2,"Bathrooms, Kitchen, Living Space",5,0,The open-plan living space makes the home feel very spacious.
12,Jessica Tucker,Poole-Little,kstephens@example.org,0736001439,2684,61 Robert Glade,Sydney,NSW,Penrith,-33.751,150.6949,1,3,5,2,1,"Price, Bathrooms",3,0,I love the modern kitchen layout and the high-end appliances.
2,Amanda Pacheco,"Williams, Molina and Benjamin",toni11@example.net,+61.457.598.636,2767,248/664 Jacob Basin,Sydney,NSW,Penrith,-33.751,150.6949,1,4,4,1,2,"Garage, Kitchen",1,0,"The neighborhood is quiet and family-friendly, which is a big plus."
8,Nicole Bowers,"Valdez, Knapp and Martinez",michael37@example.net,+61.418.401.897,2675,7/998 Kenneth Tollway,Sydney,NSW,Mosman,-33.8295,151.2443,0,3,3,1,2,Bedrooms,3,0,The price seems reasonable for the area and the amenities offered.
18,Mrs. Heidi Bryant,"Brooks, Hobbs and Harper",david99@example.org,08.6365.6362,0978,386 Kaitlyn Access,Sydney,NSW,Chatswood,-33.7969,151.1832,1,1,1,1,5,"Neighborhood, Garage, Price",3,1,"The neighborhood is quiet and family-friendly, which is a big plus."
16,Donald Davis,Richardson-Smith,davisbecky@example.net,(02) 5567 4846,0893,6 Sharp Rotary,Sydney,NSW,Manly,-33.7963,151.2875,0,5,1,3,5,Garage,1,0,The balcony offers stunning views of the surrounding area.
3,Krystal Rivera,Hernandez Group,jshepherd@example.org,0456.691.545,2201,3 Megan Chase,Sydney,NSW,Manly,-33.7963,151.2875,1,5,3,1,3,Balcony,4,0,The balcony offers stunning views of the surrounding area.
15,Christian Norris,Bradford Group,dawn45@example.net,02-0556-7827,9611,738 Lee Little,Sydney,NSW,Newtown,-33.8971,151.1796,1,4,1,5,4,"Bedrooms, Living Space, Balcony",5,1,"The neighborhood is quiet and family-friendly, which is a big plus."
1,Kevin Johnson,Martinez-Kirk,berrymelanie@example.org,(02).7065.5936,2355,3/04 Sanchez Riverway,Sydney,NSW,Penrith,-33.751,150.6949,1,3,1,3,2,"Price, Living Space",5,1,The price seems reasonable for the area and the amenities offered.
15,John Collins,"Wolfe, Nielsen and Mann",ericaclark@example.org,0400.143.652,3011,Suite 111 55 Welch Terrace,Sydney,NSW,Liverpool,-33.9175,150.9244,0,3,4,5,5,"Kitchen, Price",5,0,"The property is in a great location, close to shops and public transport."
6,Zachary Mcdonald,"Maxwell, Nelson and Carter",meganbrown@example.org,(07)50854347,4495,9 Larry Glen,Sydney,NSW,Penrith,-33.751,150.6949,0,2,5,5,3,Price,3,0,The balcony offers stunning views of the surrounding area.
19,Sherry Greene,Stephens-Cunningham,velazquezmichael@example.org,5512.9263,2920,383 Johnson Esplanade,Sydney,NSW,Manly,-33.7963,151.2875,1,1,3,3,5,"Neighborhood, Price, Balcony",4,1,"The neighborhood is quiet and family-friendly, which is a big plus."
16,Thomas Garcia,Cox Inc,tturner@example.org,+61244538615,2300,554 Tiffany Anchorage,Sydney,NSW,Manly,-33.7963,151.2875,1,4,1,1,5,Bathrooms,3,0,The bedrooms are well-sized and have plenty of natural light.
4,Anna Anthony,Fuller Inc,erin86@example.com,+61239396112,2521,68/545 Debra Plaza,Sydney,NSW,Bondi,-33.8915,151.2767,0,2,4,2,2,"Balcony, Price, Garage",1,1,The price seems reasonable for the area and the amenities offered.
16,Donna Harding,"Johnson, Salazar and Stanley",katherinemartin@example.com,07.9680.2508,2634,2 David Plaza,Sydney,NSW,Chatswood,-33.7969,151.1832,1,1,5,5,3,Price,1,1,I love the modern kitchen layout and the high-end appliances.
17,James Caldwell,"Marquez, Williams and York",jonathanschmidt@example.org,(02) 1834 2665,1242,9 William Ronde,Sydney,NSW,Bondi,-33.8915,151.2767,1,4,1,2,5,Bedrooms,2,1,The open-plan living space makes the home feel very spacious.
20,Brian Pham,Bowen-Clark,gregoryhamilton@example.org,(08).6176.6934,5478,Apt. 360 325 Jessica Fairway,Sydney,NSW,Manly,-33.7963,151.2875,0,1,4,5,2,"Bathrooms, Balcony",3,1,"The property is in a great location, close to shops and public transport."
13,Derek Moore,Martinez-Kent,garnerbrandon@example.net,+61-3-3624-3118,2543,69 Jose Siding,Sydney,NSW,Parramatta,-33.814,151.0031,0,4,5,2,2,"Bedrooms, Neighborhood, Garage",1,1,The open-plan living space makes the home feel very spacious.
